right_base,center,image_name,type,num,peak_idx,peak_height,fwhm_width,left_base
12.21,8.31,004 WT-DA 25k strip 4,peak,0,6,31365,7.8,4.41
23.3,17.76,004 WT-DA 25k strip 4,trough,0,18,31365,11.09,12.21
30.05,26.68,004 WT-DA 25k strip 4,peak,1,25,31365,6.75,23.3
41.42,35.73,004 WT-DA 25k strip 4,trough,2,36,31365,11.36,30.05
48.58,45.0,004 WT-DA 25k strip 4,peak,3,45,31365,7.17,41.42
58.74,53.66,004 WT-DA 25k strip 4,trough,3,55,31365,10.16,48.58
65.06,61.85,004 WT-DA 25k strip 4,peak,4,60,29325,6.42,58.65
75.93,70.44,004 WT-DA 25k strip 4,trough,4,71,31365,10.98,64.94
81.97,78.91,004 WT-DA 25k strip 4,peak,5,79,30090,6.11,75.86
92.54,87.22,004 WT-DA 25k strip 4,trough,5,87,31365,10.65,81.89
99.59,96.07,004 WT-DA 25k strip 4,peak,6,96,31365,7.05,92.54
109.92,104.76,004 WT-DA 25k strip 4,trough,6,105,31365,10.33,99.59
