type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,6,31365,7.8,4.41,12.21,8.31,
peak,1,25,31365,6.75,23.3,30.05,26.68,18.369999999999997
peak,3,45,31365,7.17,41.42,48.58,45.0,18.32
peak,4,60,29325,6.42,58.65,65.06,61.85,16.85
peak,5,79,30090,6.11,75.86,81.97,78.91,17.059999999999995
peak,6,96,31365,7.05,92.54,99.59,96.07,17.159999999999997
trough,0,18,31365,11.09,12.21,23.3,17.76,
trough,2,36,31365,11.36,30.05,41.42,35.73,17.969999999999995
trough,3,55,31365,10.16,48.58,58.74,53.66,17.93
trough,4,71,31365,10.98,64.94,75.93,70.44,16.78
trough,5,87,31365,10.65,81.89,92.54,87.22,16.78
trough,6,105,31365,10.33,99.59,109.92,104.76,17.540000000000006
