type,num,peak_idx,peak_height,fwhm_width,left_base,right_base,center,distance_to_next_peak
peak,0,6,12240,6.23,2.55,8.77,5.66,
peak,1,21,12240,7.07,17.48,24.55,21.02,15.36
peak,2,36,12240,6.29,33.27,39.56,36.41,15.389999999999997
peak,3,52,12240,5.53,49.04,54.57,51.81,15.400000000000006
peak,5,80,12240,5.16,76.88,82.04,79.46,27.64999999999999
peak,6,94,12240,5.31,91.25,96.56,93.9,14.440000000000012
peak,7,108,12240,5.45,105.45,110.91,108.18,14.280000000000001
peak,8,123,12240,4.78,121.12,125.9,123.51,15.329999999999998
trough,0,13,12240,8.71,8.77,17.48,13.13,
trough,1,29,12240,8.71,24.55,33.27,28.91,15.78
trough,2,44,12240,9.48,39.56,49.04,44.3,15.389999999999997
trough,3,59,12240,9.01,54.57,63.59,59.08,14.780000000000001
trough,4,72,12240,9.05,67.83,76.88,72.36,13.280000000000001
trough,5,86,12240,9.21,82.04,91.25,86.65,14.290000000000006
trough,6,102,12240,8.9,96.56,105.45,101.01,14.36
trough,7,117,12240,10.21,110.91,121.12,116.01,15.0
trough,8,130,12240,9.24,125.9,135.14,130.52,14.510000000000005
