right_base,center,image_name,type,num,peak_idx,peak_height,fwhm_width,left_base
14.63,10.62,004 WT-DA 25k strip 5,peak,0,10,39015,8.02,6.61
25.17,19.9,004 WT-DA 25k strip 5,trough,0,20,39015,10.54,14.63
32.29,28.73,004 WT-DA 25k strip 5,peak,1,28,39015,7.12,25.17
43.12,37.71,004 WT-DA 25k strip 5,trough,2,39,39015,10.84,32.29
49.97,46.55,004 WT-DA 25k strip 5,peak,3,47,39015,6.85,43.12
59.82,54.9,004 WT-DA 25k strip 5,trough,3,55,39015,9.85,49.97
66.78,63.3,004 WT-DA 25k strip 5,peak,4,63,39015,6.95,59.82
76.48,71.63,004 WT-DA 25k strip 5,trough,4,72,39015,9.7,66.78
83.91,80.19,004 WT-DA 25k strip 5,peak,5,81,39015,7.44,76.48
93.77,88.84,004 WT-DA 25k strip 5,trough,5,89,39015,9.86,83.91
